email_id,subject,sender,body,has_urgent_words,has_suspicious_links,has_prize_money,sender_domain_suspicious,exclamation_count,caps_ratio,link_count,has_attachments,word_count,label
653,IRS tax refund notification,refunds@irs-tax-return.xyz,"The IRS has processed your tax refund of $3,200. Provide your banking details to receive payment: http://irs-refund-claim.xyz",1,1,1,1,7,0.23,3,0,103,1
40,Document shared with you,workspace@notion.com,Sarah has shared a document with you. Click here to view it in your workspace.,0,0,0,0,1,0.08,1,0,159,0
590,Confirm your identity to avoid suspension,verify@identity-confirm-now.xyz,Confirm your identity within 48 hours or your account will be permanently suspended. Click here: http://identity-confirm-now.xyz,1,1,1,1,4,0.29,4,0,82,1
308,Re: Budget proposal review,team@startup.com,I have reviewed the budget proposal and have a few suggestions. Let us discuss on Friday.,0,0,0,0,1,0.03,1,0,45,0
680,Your package could not be delivered,delivery@dhl-package-alert.tk,Your DHL package could not be delivered. Pay $2.50 customs fee here or package will be returned: http://dhl-delivery-fee.tk,1,1,0,1,6,0.29,1,1,128,1
67,Your appointment confirmation,appointments@clinic.com,Your appointment is confirmed for March 15 at 2:30pm. Please arrive 10 minutes early.,0,0,0,0,1,0.06,2,1,90,0
276,Your subscription has been renewed,subscriptions@netflix.com,Your annual subscription has been renewed. Thank you for your continued support.,0,0,0,0,1,0.05,0,1,66,0
68,Re: Budget proposal review,team@startup.com,I have reviewed the budget proposal and have a few suggestions. Let us discuss on Friday.,0,0,0,0,1,0.03,2,1,78,0
319,New comment on your post,notifications@medium.com,John left a comment on your recent blog post. Log in to view and reply.,0,0,0,0,0,0.03,1,0,92,0
549,You have a pending wire transfer,transfers@bank-wire-pending.ml,"A wire transfer of $8,750 is pending in your name. To receive your funds, verify your bank account: http://wire-transfer-pending.ml",1,1,0,1,3,0.35,1,1,147,1
999,Exclusive offer expires in 24 hours!!!,deals@exclusive-offer-now.xyz,Exclusive deal ONLY for you! 90 percent off expires in 24 hours!!! Buy now before it is too late: http://exclusive-deal-now.xyz,1,1,0,1,3,0.37,4,0,49,1
715,Warning: Your email storage is full,admin@email-storage-warning.ml,Your email storage is 100 percent full. Your account will stop receiving emails unless you click here to upgrade free: http://email-storage-full.ml,1,1,1,1,6,0.39,2,1,23,1
754,"Dear customer, update your details",support@account-update-alert.tk,"Dear valued customer, your account details need updating. Failure to update will result in suspension: http://account-update-required.tk",1,1,0,1,3,0.15,4,0,73,1
328,Re: Budget proposal review,team@startup.com,I have reviewed the budget proposal and have a few suggestions. Let us discuss on Friday.,0,0,0,0,1,0.04,0,1,154,0
383,Weekly team standup reminder,noreply@slack.com,This is a reminder for our weekly standup meeting every Monday at 10am.,0,0,0,0,1,0.07,1,0,78,0
452,Monthly statement available,statements@bank.com,Your monthly bank statement for February is now available in your online account.,0,0,0,0,0,0.05,0,1,56,0
523,Verify your account immediately,noreply@account-verify-now.ml,We detected suspicious activity on your account. Verify your identity NOW by clicking this link or your account will be permanently deleted: http://verify-account-now.tk,1,1,1,1,4,0.3,4,0,98,1
219,New comment on your post,notifications@medium.com,John left a comment on your recent blog post. Log in to view and reply.,0,0,0,0,1,0.05,2,0,182,0
788,Security alert: Your password expired,support@password-reset-alert.tk,Your password has expired and your account is at risk. Reset it immediately to avoid losing access: http://password-reset-urgent.tk,1,1,0,1,2,0.33,4,1,89,1
437,Feedback request - recent purchase,feedback@store.com,We would love your feedback on your recent purchase. Please take 2 minutes to fill the survey.,0,0,0,0,0,0.07,1,0,52,0
765,Your PayPal account is limited,service@paypal-secure-update.tk,Your PayPal account has been limited due to unusual activity. Please confirm your information here: http://paypal-secure-update.xyz,1,1,0,1,4,0.31,2,1,27,1
89,Happy Birthday from the team!,birthday@office.com,Wishing you a wonderful birthday! Hope you have a great day filled with joy.,0,0,0,0,1,0.03,0,1,92,0
64,Invoice #1042 attached,billing@vendor.com,Please find the attached invoice for your recent purchase. Contact us if you have any questions.,0,0,0,0,1,0.05,2,0,148,0
827,Claim your free iPhone 15 now!,rewards@prize-claim-center.xyz,You have been selected to receive a FREE iPhone 15! Claim your prize before it expires. Only pay $1.99 shipping: http://free-iphone-claim.xyz,1,1,1,1,7,0.34,2,0,46,1
717,Click here to receive your prize,rewards@gift-card-winner.tk,Click here within 24 hours to claim your prize of $500 gift card. Limited time offer!!!: http://prize-claim-now.tk,1,1,0,1,7,0.41,4,1,146,1
352,Monthly statement available,statements@bank.com,Your monthly bank statement for February is now available in your online account.,0,0,0,0,1,0.01,1,1,51,0
937,Click here to receive your prize,rewards@gift-card-winner.tk,Click here within 24 hours to claim your prize of $500 gift card. Limited time offer!!!: http://prize-claim-now.tk,1,1,1,1,3,0.17,3,0,103,1
257,Feedback request - recent purchase,feedback@store.com,We would love your feedback on your recent purchase. Please take 2 minutes to fill the survey.,0,0,0,0,1,0.03,2,1,191,0
636,You have been charged $499 - dispute now,billing@charge-alert-now.xyz,"You have been charged $499.99 for a subscription. If you did not authorize this, click here to dispute: http://charge-dispute-urgent.xyz",1,1,0,1,4,0.42,1,1,40,1
645,Your PayPal account is limited,service@paypal-secure-update.tk,Your PayPal account has been limited due to unusual activity. Please confirm your information here: http://paypal-secure-update.xyz,1,1,1,1,4,0.4,1,1,58,1
555,Warning: Your email storage is full,admin@email-storage-warning.ml,Your email storage is 100 percent full. Your account will stop receiving emails unless you click here to upgrade free: http://email-storage-full.ml,1,1,1,1,5,0.38,2,0,56,1
960,Your package could not be delivered,delivery@dhl-package-alert.tk,Your DHL package could not be delivered. Pay $2.50 customs fee here or package will be returned: http://dhl-delivery-fee.tk,1,1,0,1,7,0.38,1,0,133,1
169,Happy Birthday from the team!,birthday@office.com,Wishing you a wonderful birthday! Hope you have a great day filled with joy.,0,0,0,0,1,0.04,0,1,46,0
918,Account verification required TODAY,security@account-verify-urgent.ml,Your account verification is required TODAY or your access will be revoked permanently. Act now: http://account-verify-today.ml,1,1,0,1,4,0.28,2,1,132,1
529,You have a pending wire transfer,transfers@bank-wire-pending.ml,"A wire transfer of $8,750 is pending in your name. To receive your funds, verify your bank account: http://wire-transfer-pending.ml",1,1,0,1,4,0.27,1,1,115,1
824,Action required: Unusual login detected,alerts@login-security-check.xyz,Someone tried to login to your account from an unknown device. Click here to secure your account immediately: http://login-alert-security.ml/verify,1,1,1,1,3,0.36,2,0,58,1
986,FINAL NOTICE: Overdue payment,billing@payment-notice-urgent.ml,"FINAL NOTICE: You have an overdue payment of $2,450. Your account will go to collections unless you pay now at: http://payment-urgent-now.com",1,1,1,1,7,0.17,1,1,123,1
817,Click here to receive your prize,rewards@gift-card-winner.tk,Click here within 24 hours to claim your prize of $500 gift card. Limited time offer!!!: http://prize-claim-now.tk,1,1,0,1,7,0.18,1,0,142,1
87,Your appointment confirmation,appointments@clinic.com,Your appointment is confirmed for March 15 at 2:30pm. Please arrive 10 minutes early.,0,0,0,0,0,0.02,1,0,128,0
433,Office closed on Friday,admin@company.com,Please note that our office will be closed this Friday for a public holiday.,0,0,0,0,1,0.06,1,1,92,0
185,Project update - Q3 report,manager@work.com,Here is the Q3 project update. All milestones are on track. Let me know if you need more details.,0,0,0,0,1,0.02,2,0,32,0
979,Exclusive offer expires in 24 hours!!!,deals@exclusive-offer-now.xyz,Exclusive deal ONLY for you! 90 percent off expires in 24 hours!!! Buy now before it is too late: http://exclusive-deal-now.xyz,1,1,1,1,7,0.43,3,1,87,1
535,Warning: Your email storage is full,admin@email-storage-warning.ml,Your email storage is 100 percent full. Your account will stop receiving emails unless you click here to upgrade free: http://email-storage-full.ml,1,1,1,1,5,0.2,2,0,36,1
295,Job application received,careers@hiring.com,We have received your job application and will review it within 5 business days.,0,0,0,0,0,0.07,0,0,76,0
893,IRS tax refund notification,refunds@irs-tax-return.xyz,"The IRS has processed your tax refund of $3,200. Provide your banking details to receive payment: http://irs-refund-claim.xyz",1,1,1,1,5,0.29,1,0,73,1
426,Welcome to our newsletter,newsletter@brand.com,Thank you for subscribing to our newsletter. You will receive updates once a week.,0,0,0,0,0,0.02,0,0,37,0
714,"Dear customer, update your details",support@account-update-alert.tk,"Dear valued customer, your account details need updating. Failure to update will result in suspension: http://account-update-required.tk",1,1,1,1,5,0.35,2,1,129,1
261,Meeting scheduled for tomorrow at 3pm,hr@company.com,"Hi, just a reminder that we have a team meeting tomorrow. Please review the agenda before joining.",0,0,0,0,1,0.03,0,0,80,0
238,Quarterly review meeting,hr@enterprise.com,Your quarterly performance review is scheduled for next week. Please prepare your self-assessment.,0,0,0,0,0,0.07,2,0,75,0
560,Your package could not be delivered,delivery@dhl-package-alert.tk,Your DHL package could not be delivered. Pay $2.50 customs fee here or package will be returned: http://dhl-delivery-fee.tk,1,1,0,1,5,0.4,1,0,129,1
584,Action required: Unusual login detected,alerts@login-security-check.xyz,Someone tried to login to your account from an unknown device. Click here to secure your account immediately: http://login-alert-security.ml/verify,1,1,1,1,3,0.18,2,0,52,1
446,Welcome to our newsletter,newsletter@brand.com,Thank you for subscribing to our newsletter. You will receive updates once a week.,0,0,0,0,1,0.05,2,1,44,0
868,Security alert: Your password expired,support@password-reset-alert.tk,Your password has expired and your account is at risk. Reset it immediately to avoid losing access: http://password-reset-urgent.tk,1,1,0,1,6,0.27,1,1,38,1
801,URGENT: Your account will be suspended,security-alert@gmail-verify.xyz,Your account will be suspended in 24 hours. Click here immediately to verify your information and avoid losing access: http://secure-login-verify.xyz/account,1,1,1,1,4,0.39,3,0,141,1
600,Your package could not be delivered,delivery@dhl-package-alert.tk,Your DHL package could not be delivered. Pay $2.50 customs fee here or package will be returned: http://dhl-delivery-fee.tk,1,1,1,1,4,0.26,3,1,126,1
850,Confirm your identity to avoid suspension,verify@identity-confirm-now.xyz,Confirm your identity within 48 hours or your account will be permanently suspended. Click here: http://identity-confirm-now.xyz,1,1,1,1,6,0.29,4,1,148,1
266,Welcome to our newsletter,newsletter@brand.com,Thank you for subscribing to our newsletter. You will receive updates once a week.,0,0,0,0,0,0.06,0,0,141,0
996,You have been charged $499 - dispute now,billing@charge-alert-now.xyz,"You have been charged $499.99 for a subscription. If you did not authorize this, click here to dispute: http://charge-dispute-urgent.xyz",1,1,1,1,3,0.25,1,1,80,1
530,Confirm your identity to avoid suspension,verify@identity-confirm-now.xyz,Confirm your identity within 48 hours or your account will be permanently suspended. Click here: http://identity-confirm-now.xyz,1,1,1,1,3,0.16,4,1,100,1
56,Your subscription has been renewed,subscriptions@netflix.com,Your annual subscription has been renewed. Thank you for your continued support.,0,0,0,0,0,0.02,0,0,176,0
121,Meeting scheduled for tomorrow at 3pm,hr@company.com,"Hi, just a reminder that we have a team meeting tomorrow. Please review the agenda before joining.",0,0,0,0,0,0.04,0,0,128,0
216,Your subscription has been renewed,subscriptions@netflix.com,Your annual subscription has been renewed. Thank you for your continued support.,0,0,0,0,0,0.06,1,1,161,0
26,Welcome to our newsletter,newsletter@brand.com,Thank you for subscribing to our newsletter. You will receive updates once a week.,0,0,0,0,0,0.06,0,0,171,0
73,Office closed on Friday,admin@company.com,Please note that our office will be closed this Friday for a public holiday.,0,0,0,0,0,0.03,2,1,47,0
45,Project update - Q3 report,manager@work.com,Here is the Q3 project update. All milestones are on track. Let me know if you need more details.,0,0,0,0,0,0.06,2,1,152,0
248,Re: Budget proposal review,team@startup.com,I have reviewed the budget proposal and have a few suggestions. Let us discuss on Friday.,0,0,0,0,1,0.01,0,0,110,0
722,"You have won $1,000,000 lottery!",lottery@winner-notification.tk,"CONGRATULATIONS! You have been selected as the winner of our $1,000,000 international lottery. Send your bank details to claim your prize immediately.",1,1,0,1,2,0.4,4,1,119,1
282,Your order has been shipped,orders@amazon.com,Your package has been shipped and will arrive in 3-5 business days. Track your order using the link below.,0,0,0,0,0,0.05,0,1,151,0
894,"Dear customer, update your details",support@account-update-alert.tk,"Dear valued customer, your account details need updating. Failure to update will result in suspension: http://account-update-required.tk",1,1,1,1,4,0.21,1,0,149,1
915,Warning: Your email storage is full,admin@email-storage-warning.ml,Your email storage is 100 percent full. Your account will stop receiving emails unless you click here to upgrade free: http://email-storage-full.ml,1,1,1,1,6,0.34,3,0,93,1
811,Your Netflix account has been hacked,support@netflix-billing-update.tk,We noticed your Netflix account was accessed by hackers. Update your payment info here or lose access: http://netflix-update-billing.tk,1,1,0,1,3,0.39,3,1,21,1
245,Project update - Q3 report,manager@work.com,Here is the Q3 project update. All milestones are on track. Let me know if you need more details.,0,0,0,0,0,0.04,2,0,137,0
823,Verify your account immediately,noreply@account-verify-now.ml,We detected suspicious activity on your account. Verify your identity NOW by clicking this link or your account will be permanently deleted: http://verify-account-now.tk,1,1,0,1,4,0.21,1,0,21,1
322,Your order has been shipped,orders@amazon.com,Your package has been shipped and will arrive in 3-5 business days. Track your order using the link below.,0,0,0,0,0,0.06,0,0,139,0
644,Action required: Unusual login detected,alerts@login-security-check.xyz,Someone tried to login to your account from an unknown device. Click here to secure your account immediately: http://login-alert-security.ml/verify,1,1,0,1,6,0.31,1,1,132,1
159,New comment on your post,notifications@medium.com,John left a comment on your recent blog post. Log in to view and reply.,0,0,0,0,1,0.07,1,1,124,0
978,Account verification required TODAY,security@account-verify-urgent.ml,Your account verification is required TODAY or your access will be revoked permanently. Act now: http://account-verify-today.ml,1,1,0,1,5,0.33,2,0,47,1
430,New feature release notes,updates@github.com,We are excited to announce the release of version 2.0. Check the release notes for details.,0,0,0,0,1,0.06,2,1,118,0
942,"You have won $1,000,000 lottery!",lottery@winner-notification.tk,"CONGRATULATIONS! You have been selected as the winner of our $1,000,000 international lottery. Send your bank details to claim your prize immediately.",1,1,1,1,7,0.41,3,1,41,1
463,Weekly team standup reminder,noreply@slack.com,This is a reminder for our weekly standup meeting every Monday at 10am.,0,0,0,0,1,0.06,0,1,120,0
310,New feature release notes,updates@github.com,We are excited to announce the release of version 2.0. Check the release notes for details.,0,0,0,0,0,0.07,1,0,42,0
698,Account verification required TODAY,security@account-verify-urgent.ml,Your account verification is required TODAY or your access will be revoked permanently. Act now: http://account-verify-today.ml,1,1,1,1,3,0.19,2,0,54,1
61,Meeting scheduled for tomorrow at 3pm,hr@company.com,"Hi, just a reminder that we have a team meeting tomorrow. Please review the agenda before joining.",0,0,0,0,1,0.03,1,1,192,0
885,Your PayPal account is limited,service@paypal-secure-update.tk,Your PayPal account has been limited due to unusual activity. Please confirm your information here: http://paypal-secure-update.xyz,1,1,1,1,4,0.35,3,1,110,1
596,You have been charged $499 - dispute now,billing@charge-alert-now.xyz,"You have been charged $499.99 for a subscription. If you did not authorize this, click here to dispute: http://charge-dispute-urgent.xyz",1,1,0,1,4,0.26,3,0,70,1
768,Security alert: Your password expired,support@password-reset-alert.tk,Your password has expired and your account is at risk. Reset it immediately to avoid losing access: http://password-reset-urgent.tk,1,1,1,1,7,0.41,4,0,93,1
